character,universe,page_length
teth_adam,harley_quinn_tv_series,372322
teth_adam,justice,375676
teth_adam,lego_batman,368974
teth_adam,new_earth,426641
teth_adam,prime_earth,447884
teth_adam,return_of_black_adam,381639
teth_adam,the_brave_and_the_bold,375429
thaddeus_sivana,dc_extended_universe,402587
theo_adam,magic_of_shazam,367501
theodore_galavan,gotham,370012
thomas_snow,arrowverse,363746
thrax,wonder_woman_2_9_movie,360917
timothy_karnes,new_earth,366217
trace_wyndham,legends_of_the_dead_earth,358865
trigon,teen_titans_go_tv_series,366045
troll,new_earth,353261
tsavo,prime_earth,362588
tyrell,earth_1,360324
unknown_soldier,prime_earth,386719
unknown_soldier_ii,new_earth,357134
uriah_boone,prime_earth,352590
vandal_savage,dc_animated_movie_universe,360399
vandal_savage,dcau,380804
vandal_savage,earth_16,376217
vandar_adg,prime_earth,393902
vincent_sobel,arrowverse,365720
virgil_hawkins,prime_earth,382593
wallace_allen,mash_up,362910
wallace_r_west,dc_animated_movie_universe,367938
wallace_r_west,dc_legends,370210
wallace_r_west,dceased,367436
wallace_r_west,earth_52,365404
wallace_r_west,lego_batman,370925
wallace_r_west,once_and_future,367310
wallace_r_west,prime_earth,490006
wally_west,arrowverse,384683
wally_west,crisis_on_two_earths,364216
wally_west,dc_animated_movie_universe,366690
wally_west,dc_legends,369596
wally_west,dcau,381899
wally_west,dceased,373032
wally_west,earth_16,359225
wally_west,earth_18,365577
wally_west,earth_21,363805
wally_west,earth_22,388129
wally_west,earth_3839,367071
wally_west,earth_5_8,373723
wally_west,future_state,377069
wally_west,injustice,362039
wally_west,justice_league_heroes,363300
wally_west,lego_batman,375268
wally_west,super_seven,372226
wally_west,the_brave_and_the_bold,371166
wally_west,the_new_order,362176
wally_west,tiny_titans,370256
wally_west,world_without_young_justice,364435
walter_stapleton,prime_earth,356483
whip_whirlwind,dc_legends,360852
william_hayes,new_earth,362811
william_leather,wildstorm_universe,358841
william_magnus,gods_and_monsters,361698
william_mar_vell,amalgam_universe,359633
wonder_girl,earth_124_1,352286
wonder_tot,earth_124_1,354405
wonder_woman,diana_prince,656532
wonder_woman,earth_124_1,354374
xiao_loong,prime_earth,353943
xiomara_rojas,prime_earth,376142
yohn_kohl,wildstorm_universe,421591
zannah_of_khera,wildc_a_t_s_tv_series,363076
zannah_of_khera,wildstorm_universe,417743
zauriel,new_earth,384770
allie_langford,dcau,356393
allure_botier,new_earth,354923
anansi,dcau,357447
bernhard_baker,animal_man_shorts,353705
bernhard_baker,new_earth,401176
buzz_dixon,wildstorm_universe,357651
celine_patterson,prime_earth,358939
christopher_weiss,dc_extended_universe,360856
clifford_steele,new_earth,393686
clifford_steele_doppelganger,new_earth,370870
copperhead,dcau,361051
dracula,the_batman_tv_series,375961
fang,teen_titans_tv_series,357421
frederick_von_frankenstein,new_earth,364311
gregory_arkin,smallville,362832
guardian_of_the_cave,teen_titans_tv_series,355546
jason_troy,impact,354915
joker,batman_vs_tmnt,362920
joker,the_batman_tv_series,405863
judge_ryme,new_earth,362785
kay_challis,doom_patrol_tv_series,385329
kirk_langstrom,the_batman_tv_series,361472
mig_el_gand,amalgam_universe,355005
mitchell_anderson,new_earth,364999
pamela_isley,new_earth,430094
peter_ross,amalgam_universe,363413
roderick_rose,new_earth,364454
rudolph_jones,justice_league_action,371742
sameer_park,dc_animated_movie_universe,378559
sylvan_scofield,new_earth,354046
terrence_mcginnis,dcau,400856
virgil_hawkins,dakotaverse,421135
wallflower,wildstorm_universe,351234
adrianna_tomaz,new_earth,385838
ahri_ahn,new_earth,434930
amazo,earth_16,363559
amulet_of_isis,amulet_of_isi,347699
arak_wind_walker,new_earth,356084
avery_ho,prime_earth,385634
barry_allen,dc_super_friends_web_series,355548
barry_allen,earth_16,367525
barry_allen,out_of_time,381971
bedlam_ii,new_earth,357425
behrad_tarazi,arrowverse,359811
berta_skye_haris,pre_zero_hour,350760
black_flash,prime_earth,370170
blue_condor,prime_earth,357642
boreas,new_earth,354768
breathtaker_ii,new_earth,360894
bromwell_stikk,earth_16,358135
bromwell_stikk,new_earth,366655
chase_lawler,new_earth,363925
citizen_abra,earth_5_8,358707
cloud_9,prime_earth,356824
clyde_mardon,arrowverse,358247
david_drake,injustice,347133
david_drake,prime_earth,376100
dervish,new_earth,350921
drogue,prime_earth,369283
dust_devil,new_earth,352084
eleanor_darhk,arrowverse,381901
emilo_storn,earth_one,354773
eobard_thawne,injustice,440421
eurus,earth_2,366332
feng_po_impostor,new_earth,354978
feodor_piotrovitch_sorin,new_earth,349341
gabriel,constantine_movie,368198
gary_johnson,earth_one,351357
hades,dcau,370062
harmonia_li,pre_zero_hour,378806
hemi_kiwara,new_earth,349666
hurricane,new_earth,349928
inertia_ii,new_earth,355257
jason,prime_earth,428689
jason_garrick,dc_legends,356109
jason_garrick,injustice,365770
jay_garrick_clone,new_earth,359455
jinx,new_earth,372157
jocelyn_jackam,arrowverse,368103
john_constantine,arrowverse,414014
john_trujillo,new_earth,369487
jonathan_chambers,new_earth,397720
joseph_carver,prime_earth,357616
khalid,new_earth,350940
king_of_tears,new_earth,349639
leonard_lewis,just_imagine,376942
linda_park,earth_32,361137
lithium,prime_earth,353632
lloyd_jefferson,new_earth,353567
lois_lane,earth_2,392403
lucifer_rofocale,constantine_movie,379087
lumi,fables,357280
lutessa_luthor,smallville,421350
maelstrom,prime_earth,361925
mark_mardon,arrowverse,357973
mas_y_menos,tiny_titans,353934
maxine_hunkel,earth_22,350148
maxine_hunkel,new_earth,371067
meena_dhawan,prime_earth,381784
merlin,new_earth,389360
merton_mcsnurtle,tiny_titans,354509
monkey_prince,prime_earth,365841
moshe_levy,new_earth,352258
nightstorm,prime_earth,357377
omar_kamadev,wildstorm_universe,356545
ororo_of_themyscira,amalgam_universe,358335
peter_dale,earth_one,354350
red_tornado,crisis_on_two_earths,352311
red_tornado,dcau,356864
red_tornado,earth_22,353197
red_tornado,earth_11,349666
red_tornado,earth_16,367690
red_tornado,flashpoint_timeline,351345
red_tornado,injustice,350415
red_tornado,justice_league_action,356252
red_tornado,justice,360456
red_tornado,lego_batman,366915
red_tornado,new_earth,411825
red_tornado,prime_earth,364175
red_tornado,super_friends,354133
red_tornado,the_brave_and_the_bold,361296
red_tornado,the_new_order,345655
robinson_goode,prime_earth,361495
roscoe_dillon,prime_earth,363656
roscoe_hynes,prime_earth,363451
sam_zhao,earth_2,373943
samuel_song,prime_earth,358944
samurai_ii,new_earth,350221
sarah_rainmaker,wildstorm_universe,371136
shifu_pigsy,prime_earth,353083
siracca,prime_earth,361948
strato,prime_earth,356325
superman,clark_kent,575295
tai_darshan,new_earth,351936
tempest,dc_one_million,369320
tempest_drake,smallville,355297
terra_mark_v,mash_up,357959
tornado_champion,the_brave_and_the_bold,355354
toshio_eto,new_earth,355362
toshio_eto,super_friends,357150
trigon,dc_animated_movie_universe,370821
tsuki_yomi,new_earth,356648
ulthoon,new_earth,349678
valerie_kameya,dakotaverse,364543
violet_of_the_rainbow_raiders,new_earth,353674
wally_west,earth_16,384925
wally_west,new_earth,548266
wendy_hernandez,black_lightning_tv_series,355438
wendy_jones,earth_16,350380
wendy_jones,new_earth,377883
wendy_jones,thunder_lightning_shorts,354350
william_roberts,new_earth,354803
wind_dragon,dcau,354102
windshear,dakotaverse,368192
zari_tarazi,arrowverse,367749
zatanna_zatara,new_earth,471635
abnegazar,justice_league_action,356056
abnegazar,scooby_doo_team_up,352498
abysmus,prime_earth,355902
abyssma,new_earth,352523
acarinus,new_earth,352096
adam_sector_1_55,new_earth,358981
adjudicator,earth_one,365064
akka,pre_zero_hour,353359
alastor_faud,pre_zero_hour,382121
alia,new_earth,359206
sinestro,the_brave_and_the_bold,357173
almeracians,almeracian,351031
alpheus,sixth_dimension,375670
amalak,new_earth,356511
amanita,new_earth,363767
amon_hakk,new_earth,359783
angels,angel,368453
anointed_one,new_earth,350105
apex_predators,apex_predator,376189
apros,new_earth,366332
ar_n_o_q,new_earth,361739
arak,prime_earth,382679
archon_z_gmora,new_earth,358499
ares,dcau,359982
argent,prime_earth,357415
ariella_kent,new_earth,391013
arisia_rrab,new_earth,374445
arkillo,dc_universe_online,360213
arkillo,lego_batman,370846
arkillo,new_earth,368517
arkillo,prime_earth,364734
arn_digby,pre_zero_hour,348950
arnus_ii,dakotaverse,374352
artredis_qon,prime_earth,356068
ash_ka_phageous,ash_ka_phageou,392725
astrild_storm_daughter,new_earth,367290
atrocitus,lego_batman,369507
atrocitus,new_earth,387198
atros,dc_legends,366946
atros,prime_earth,389587
auctioneer,new_earth,352998
augustus_freeman,earth_16,361461
augustus_freeman,prime_earth,351900
ayla_ranzz,sw6,380945
azrael,new_earth,363288
b_dg,new_earth,363737
b_dg,prime_earth,359103
b_dg,tiny_titans,363219
babe,atari_force,355056
badra,earth_two,356600
baern,smallville,354219
barbatos,dark_multiverse,391382
barda_free,gotham_city_garage,375238
bat_mite,the_brave_and_the_bold,361496
belzebeth,prime_earth,358390
bertron_diib,new_earth,357278
bette_noir,new_earth,358841
big_barda,dc_legends,356810
billy_the_girl,new_earth,360975
bizarro,dc_legends,359555
bizarro_krypto,dcau,356530
black_beetle,earth_16,364136
blackfang,new_earth,351713
blok,dcau,350590
blok,legion_of_super_heroes_tv_series,374700
blok,post_rebirth,359547
blok,pre_zero_hour,385026
bloodlines_parasites,bloodlines_parasite,353283
bolphunga,emerald_knights,355134
bolphunga,new_earth,365173
bolphunga,prime_earth,362729
brainiac,earth_3,354688
brainiac,krypton_tv_series,379558
brainiac,man_of_tomorrow,360479
brainiac_s_daughter,earth_22,383128
brek_bannin,legion_of_super_heroes_tv_series,353342
brek_bannin,post_zero_hour,379049
brek_bannin,pre_zero_hour,389842
brik,new_earth,361588
bro_dee_walker,new_earth,374262
bro_dee_walker,prime_earth,357967
brunt,new_earth,352148
brutus,prime_earth,353848
bull_dog,earth_one,348506
bzzd,new_earth,374131
caellich,new_earth,357105
caliban,prime_earth,355976
calleen,prime_earth,362439
calythos,justice_league_action,362080
cathexis,cathexi,349733
celerita,earth_two,355071
cerimul,new_earth,352314
ceritak,new_earth,357441
cerizah,new_earth,354451
ch_p,earth_5_8,359000
ch_p,new_earth,377078
ch_p,tiny_titans,357178
cha_rissa,new_earth,351460
chameleon_collie,earth_one,350600
chaq,new_earth,353417
charis_nar,new_earth,368211
charis_nar,prime_earth,353070
chaselon,dc_animated_movie_universe,359899
chaselon,duck_dodgers,357654
chaselon,new_earth,368701
chey_nu,pre_zero_hour,356103
chronar,new_earth,350325
chrysalis_hunter,teen_titans_tv_series,354869
chthos_chthas_chthatis,new_earth,362607
chun_yull,new_earth,367431
chun_yull,prime_earth,367778
clonus,pre_zero_hour,355372
cobi,new_earth,368235
cobi,prime_earth,357810
crystallar,earth_two,357227
dag_wentim,pre_zero_hour,361229
dark_angel,new_earth,382598
dark_heart,dcau,359521
darlene_spritzer,new_earth,364672
dartalg,pre_zero_hour,355451
darthartheen,new_earth,352897
dawg,new_earth,357845
dawg,prime_earth,354763
dawlakispokpok,new_earth,356973
dawnstar,pre_zero_hour,395336
dawnstar_gr_ell,post_rebirth,360401
death_kraken,prime_earth,362970
deathspawn,earth_2,404324
dennap,new_earth,353828
deraegis,new_earth,360137
desira,earth_two,375652
despera,future_state,357652
despero,dcau,358259
despero,earth_16,352986
despero,earth_5_8,356640
despero,new_earth,397239
despero,prime_earth,373764
despotellis,new_earth,363338
doomsday,flashpoint_timeline,354750
doomsday,injustice,369632
doomsday,tiny_titans,356483
doranchatok,new_earth,353077
draaga,new_earth,360774
drura_sehpt,post_zero_hour,351776
drura_sehpt,pre_zero_hour,359870
el,the_coming_of_the_supermen,362379
elvo,pre_zero_hour,353963
entropy,prime_earth,388504
eris,harley_quinn_tv_series,354579
ernest_widdle,new_earth,377390
evane,dakotaverse,356744
exploder,earth_one,355821
exxorians,exxorian,352068
faern,new_earth,349351
fenris,new_earth,356695
fire_people,fire_peopl,352827
first_of_the_fallen,arrowverse,374813
first_of_the_fallen,new_earth,385753
first_of_the_fallen,prime_earth,363732
flamina,earth_two,355720
flood,prime_earth,362191
forager,earth_16,361622
furcifer,arrowverse,367379
g_hu,new_earth,363589
g_nort,dcau,362619
g_nort,duck_dodgers,357500
g_nort,new_earth,379310
g_nort,prime_earth,366917
g_nort,the_brave_and_the_bold,359454
g_nort,tiny_titans,358234
galius_zed,dc_animated_movie_universe,361082
galius_zed,duck_dodgers,359296
